"","race","ST","POVPIP2","NATIVITY2","ESR2","SCHL2","house_ten","AGEP","VALP","RNTP","FINCP"
"77",1,"23",0.0171119638935148,0.0254567615185963,0.0326199325819194,0.633078303123919,0.795826997803683,53,3e+05,NA,119600
"78",2,"23",0.0345183304237423,0.493493096333915,0.0203935883193144,0.568005078558959,0.336930645929218,39,NA,1600,139990
"79",3,"23",0.0143532865764149,0.140814440276192,0.0207144022182352,0.722448757679552,0.72511281465775,39,350000,NA,110000
"80",4,"23",0.0350647348951911,0.185110974106042,0.0242139334155364,0.660172626387176,0.737731196054254,46,4e+05,NA,154100
"81",1,"24",0.0133605739254717,0.0491313580951047,0.0282111401816171,0.713751886747083,0.816929637094903,51,450000,NA,171180
"82",2,"24",0.0218235177019177,0.162749663696742,0.0589088693574949,0.619440439637335,0.588630235321795,46,625000,NA,142000
"83",3,"24",0.0308448174705189,0.61800034933872,0.0467218144115658,0.431258649492339,0.60852789559251,40,550000,NA,110300
"84",4,"24",0.0185529286240022,0.558360419404595,0.0396829170414973,0.735538510402383,0.722704562441874,44,560000,NA,155000
"85",1,"25",0.0116458848336466,0.0798315753769711,0.0378631488051927,0.720358401361807,0.755744531585147,51,629000,NA,191000
"86",2,"25",0.0264647811400557,0.462382500135561,0.072501443330537,0.629601513184545,0.458944024292609,43,NA,NA,140000
"87",3,"25",0.0274860342569037,0.431199123614562,0.0748045785859706,0.433558369051979,0.376594965403233,39,NA,1900,102400
"88",4,"25",0.0282548301077344,0.630887365068263,0.0469029576825733,0.663833244647576,0.595917038368021,40,1e+06,NA,164900
"89",1,"26",0.0155446638259295,0.0469592404524368,0.0332623005634379,0.642743428637019,0.828897700248824,51,250000,NA,117000
"90",2,"26",0.0324284009234474,0.0255799527815871,0.0869220477770002,0.539570264324784,0.511025823680965,44,NA,NA,91900
"91",3,"26",0.0327750557038237,0.312913647367943,0.0574692699425197,0.472971595869792,0.689218108355987,38,250000,NA,97600
"92",4,"26",0.0233255053125424,0.400576795350402,0.0438093157558151,0.685466836029097,0.703632189902029,41,380000,NA,130000
"93",1,"27",0.00917766405169189,0.0182935570455719,0.0286093237001563,0.729774640533236,0.816672532974673,51,350000,NA,145700
"94",2,"27",0.0193571116867311,0.499989991152179,0.0709347062803518,0.561015938089271,0.37562004812254,39,NA,1500,110000
"95",3,"27",0.0244969505570123,0.444687498490972,0.0596319421306021,0.454533601819525,0.632371901664518,38,360000,NA,99000
"96",4,"27",0.0150446066504461,0.415944343065693,0.0413067721005677,0.647817822384428,0.712895377128954,38,395000,NA,130200
"97",1,"28",0.0157380590674655,0.00696968931309041,0.0212099007962201,0.611460547468424,0.827751475739133,50,2e+05,NA,100100
"98",2,"28",0.0383926805936329,0.00454256382302171,0.0636533435941834,0.504648111629498,0.583946579449441,44,3e+05,NA,68900
"99",3,"28",0.0520722095092804,0.423018899906772,0.0324942791762014,0.448139672853632,0.522095092804475,38,NA,NA,60000
"100",4,"28",0.0247502071452941,0.184305697714091,0.0465175220548813,0.590378710337769,0.718886776819223,43,250000,NA,94000
"101",1,"29",0.0152381721505297,0.0150531925487597,0.0238247179129281,0.61686331889965,0.777396147458754,50,270000,NA,115200
"102",2,"29",0.0318053409700629,0.0471865417725229,0.0684978440891842,0.541854406526559,0.486658349009746,43,NA,NA,91604
"103",3,"29",0.015949408953794,0.361949511595682,0.0369795913712386,0.515610120490172,0.623247247201583,37,3e+05,NA,87300
"104",4,"29",0.0221151767417643,0.253251201977973,0.0425617431497151,0.631794334641629,0.667730355005983,42,350000,NA,116400
"105",1,"30",0.0140257802461972,0.0160345947140824,0.0198850527072022,0.680416131305177,0.736752738978461,50,450000,NA,124000
"106",2,"30",0.0676300578034682,0.118208092485549,0.0184971098265896,0.561271676300578,0.861560693641618,34,5e+05,NA,205900
"107",3,"30",0.0398351648351648,0.151634950415438,0.0502546234253551,0.494136960600375,0.595785312248727,35,8e+05,NA,112000
"108",4,"30",0.0192647926086102,0.0640617953491599,0.0705257923889037,0.632095653279987,0.664184368459395,41,450000,NA,116100
"109",1,"31",0.0138349903505166,0.0165643658861152,0.0138785349506378,0.700623036138534,0.76110996927493,49,275000,NA,128200
"110",2,"31",0.0231453507888553,0.164803625377644,0.0734978180597516,0.587176905001678,0.389627391742195,41,NA,1200,1e+05
"111",3,"31",0.0273355361970562,0.480589051481211,0.023237351413981,0.425639045044272,0.619576878513496,37,275000,NA,83400
"112",4,"31",0.00830012149288642,0.356678134686787,0.0272961587809835,0.682483450852153,0.574491035641698,37,5e+05,NA,128000
"113",1,"32",0.0228636765434144,0.0591168223588249,0.0546040878276169,0.671011511698462,0.697610447910029,53,5e+05,NA,136000
"114",2,"32",0.0630971642891426,0.0807764434614376,0.109024695573006,0.591743732094349,0.373199538844439,41,NA,1600,104200
"115",3,"32",0.0296221503314838,0.454921771072564,0.0602478114019262,0.370098786959935,0.572335624786096,39,550000,NA,80000
"116",4,"32",0.0288939655127245,0.464918025915233,0.0653277653481999,0.667356551901201,0.64235563496513,45,525000,NA,108500
"117",1,"33",0.0120910566371627,0.0358743383137728,0.0229815173850591,0.674380144953242,0.786772734682662,52,4e+05,NA,145300
"118",2,"33",0,0.47023858664245,0.0151902914224387,0.544704036985057,0.382894410963428,37,NA,1500,97500
"119",3,"33",0.0422629985248065,0.26597479230829,0.0887962938999456,0.559279484458708,0.635497813090401,38,518000,NA,120000
"120",4,"33",0.0127382861215037,0.393684304293604,0.0325880396698141,0.676628659659125,0.675975414216996,40,5e+05,NA,132800
"121",1,"34",0.0104006137457346,0.097924475177653,0.0455595134463528,0.704455339407074,0.809195078668461,53,475000,NA,168000
"122",2,"34",0.0210989417343515,0.232200953138352,0.072158570363584,0.605204927116087,0.502436179908716,45,NA,NA,128300
"123",3,"34",0.0292356375718442,0.530412500391813,0.0679802127471626,0.457515394676477,0.461582410317639,42,NA,2300,95700
"124",4,"34",0.0159855755322652,0.703463155646866,0.0526421539079767,0.789717517333662,0.684960241193259,44,650000,NA,165500
"125",1,"35",0.0195233322914015,0.0306263514232037,0.0362270036510581,0.758034422420655,0.768766857544285,57,330000,NA,132000
"126",2,"35",0.0208171891511095,0.129270870024657,0.0884818598097922,0.66224022543149,0.480133849947165,42,NA,NA,89000
"127",3,"35",0.0325097059378526,0.18680634830566,0.0492771234290165,0.4725416642689,0.711321787471745,43,275000,NA,84500
"128",4,"35",0.0387286440637124,0.0996264970240247,0.0515964240102171,0.576915106388106,0.717949830116388,42,230000,NA,80100
"129",1,"36",0.015340062500629,0.103335715042596,0.0408666974887865,0.709077035369862,0.72407742311292,51,550000,NA,169000
"130",2,"36",0.0299172533940745,0.338119646652376,0.0843530548957307,0.579876749128675,0.423075945751728,46,NA,2500,120000
"131",3,"36",0.0313287914709092,0.475942096319905,0.0791735778817958,0.480698170228656,0.342736566189901,42,NA,1900,99000
"132",4,"36",0.0284627701363493,0.64724798905696,0.064300825912352,0.634663393857701,0.572877492991111,44,1200000,NA,129000
"133",1,"37",0.0188323229561224,0.0252672631569135,0.0271108390532802,0.686988855813838,0.780196541930913,51,325000,NA,119470
"134",2,"37",0.026931565625882,0.043755516853203,0.0576317889037398,0.57421111811868,0.536037869159047,46,7e+05,NA,92700
"135",3,"37",0.0369888509976551,0.570745042336821,0.0364623193108557,0.394249784183233,0.556084808336344,38,5e+05,NA,70000
"136",4,"37",0.0276970564706881,0.355070197414019,0.0446377914021723,0.660297323335591,0.671947909479676,41,450000,NA,115000
"137",1,"38",0.0128993683757554,0.0201072912981502,0.0127773053871155,0.697931342672186,0.723136315394212,47,3e+05,NA,130000
"138",2,"38",0.00273099681383705,0.550946095324794,0.0642434488588335,0.605240912933221,0.25222706287795,35,NA,1000,130000
